Day,Downloads,"Downloaded 2/27/2024, 7:25:18 AM from https://sourceforge.net"
2023-11-29,"1,641"
2023-11-30,"1,584"
2023-12-01,"1,403"
2023-12-02,"1,152"
2023-12-03,"1,112"
2023-12-04,"1,636"
2023-12-05,"1,534"
2023-12-06,"1,535"
2023-12-07,"1,426"
2023-12-08,"1,385"
2023-12-09,"983"
2023-12-10,"1,055"
2023-12-11,"1,528"
2023-12-12,"1,420"
2023-12-13,"1,515"
2023-12-14,"1,440"
2023-12-15,"1,205"
2023-12-16,"973"
2023-12-17,"883"
2023-12-18,"1,471"
2023-12-19,"1,357"
2023-12-20,"1,248"
2023-12-21,"1,183"
2023-12-22,"966"
2023-12-23,"787"
2023-12-24,"758"
2023-12-25,"797"
2023-12-26,"1,056"
2023-12-27,"1,218"
2023-12-28,"1,152"
2023-12-29,"989"
2023-12-30,"843"
2023-12-31,"643"
2024-01-01,"796"
2024-01-02,"1,287"
2024-01-03,"1,204"
2024-01-04,"1,209"
2024-01-05,"1,244"
2024-01-06,"908"
2024-01-07,"930"
2024-01-08,"1,632"
2024-01-09,"1,554"
2024-01-10,"1,596"
2024-01-11,"1,604"
2024-01-12,"1,298"
2024-01-13,"992"
2024-01-14,"870"
2024-01-15,"1,570"
2024-01-16,"1,464"
2024-01-17,"1,506"
2024-01-18,"1,679"
2024-01-19,"1,296"
2024-01-20,"1,114"
2024-01-21,"967"
2024-01-22,"1,594"
2024-01-23,"1,751"
2024-01-24,"1,634"
2024-01-25,"1,507"
2024-01-26,"1,368"
2024-01-27,"984"
2024-01-28,"1,048"
2024-01-29,"1,699"
2024-01-30,"2,087"
2024-01-31,"1,576"
2024-02-01,"1,544"
2024-02-02,"1,329"
2024-02-03,"1,024"
2024-02-04,"1,016"
2024-02-05,"1,784"
2024-02-06,"1,665"
2024-02-07,"1,670"
2024-02-08,"1,578"
2024-02-09,"1,313"
2024-02-10,"1,133"
2024-02-11,"1,091"
2024-02-12,"1,610"
2024-02-13,"1,445"
2024-02-14,"1,671"
2024-02-15,"1,630"
2024-02-16,"1,541"
2024-02-17,"1,138"
2024-02-18,"1,117"
2024-02-19,"1,705"
2024-02-20,"1,732"
2024-02-21,"1,650"
2024-02-22,"1,612"
2024-02-23,"1,611"
2024-02-24,"1,279"
2024-02-25,"1,009"
2024-02-26,"1,860"
2024-02-27,"960"
